template,numero_de_ocorrencias
dup content n next headers server nginx date fri oct gmt content type application json content length connection keep alive keep alive raw url encoding utf history reason bad request cookies elapsed request connection,556
content n next headers server nginx date fri oct gmt content type application json content length connection keep alive keep alive raw url encoding utf history reason bad request cookies elapsed request connection,556
new content n next headers server nginx date thu oct gmt content type application json content length connection keep alive keep alive raw url encoding utf history reason bad request cookies elapsed request connection,554
error unknown type name did you mean,531
dup sed can t read temp no such file or directory,528
error setws returned,523
ldppc section vma x f overlaps previous sections,518
setup setws error unrecognized arguments,510
error possible docker initialization problem see earlier error statements exiting with code to trigger a retry mechanism,502
fatal unable to read current working directory no such file or directory,500
error unknown target cpu,498
fatal failed to run repack,497
filenotfounderror no such file or directory,490
error remote bitbucket already exists,474
dup fail,470
dup compile failed using,470
parse error expected another key value pair at line column,470
error near initialization for,458
error initializer element is not constant,438
error implicit declaration of function,428
error repo sync had but had error or traceback or failed keywords forcing return code to err output follows,428
error execution of failed with exit code,419
xxd broken pipe,416
error home is not set needed by package acquire,415
dup no such file,410
bad request plan u u release sourcebranch id bad request failed to process data,407
error sstate cannot test file core bifrost linux r core timeout,403
fatal bad tree object,401
whoami cannot find name for user id,399
error whoami could not confirm which user account is running,399
error nothing rprovides but rdepends on or otherwise requires it,397
error required build target has no buildable providers,397
error expected before,395
file line column aid reference not found dra,389
file line column aid reference not found ccmd,389
error has no member named did you mean,387
assertionerror,378
error jdk version is not available,375
error redefinition of,374
error expected expression before token,365
line binary operator expected,361
applying limit trace level to deal with exception loop,360
attribute not found in model,359
ldppc section vma x overlaps previous sections,356
error type not found in module,352
merge origin not something we can merge,350
dup no such file or directory,336
error did not send all necessary objects,333
fatal bad object alternate,333
fatal cannot be used with updating paths,326
tar exiting with failure status due to previous errors,321
tar platformtests cannot stat no such file or directory,320
clang error unknown argument,320
project list error on project manifestinvalidrevisionerror revision in not found,318
error importing from stream,316
ldppc section vma x a overlaps previous sections,312
fatal invalid revision range ec df da c ae d c f dad d,309
generating catalog error license,307
error missing license configuration for rel,307
error not found,306
fatal cannot lstat no such file or directory,302
error in the first stage of the build,301
error field name not in record or union initializer,295
cp cannot create hard link to invalid cross device link,291
error could not read,287
error directory doesnt exist,286
errorcode,285
exiting with,280
error grouping not found in module,280
removing find docker permission denied,275
error can not get home dir from passwd file possibly needed by package acquire,274
plug manager autoinc error while loading shared libraries plug manager autoinc cannot open shared object file no such file or directory,274
failed script source setup setws ctm ctm,271
dup error previous declaration here,268
dup error declaration of c function conflicts with,268
oserror file not found,266
error undeclared here not in a function did you mean,264
error fetcher failure unable to find file file r downloadfilename r anywhere the paths that were searched were,262
error copera job operators build cc executor warning exception running trat does not impact build,258
ldppc section vma x fd overlaps previous sections,257
error implicit declaration of function did you mean,254
error warning exception running trat does not impact build,252
fatal error too many errors emitted stopping now,251
line integer expression expected,251
error failed to parse with ddf parser,250
error bitbake ws base snone,250
error bitbake ws base sprintdiff,250
error when reparsing mc wsai the basehash value changed from to the metadata is not deterministic and this needs to be fixed,250
error the following commands may help,250
error then,250
error sstate cannot test file core bifrost linux r timeout,248
no package found,247
make no rule to make target,245
org xml sax saxparseexception premature end of file,242
dup cc error unrecognized command line option,240
dup error syntax error before,240
dup error syntax error before token,240
dup error requested alignment is not a constant,240
dup error undeclared first use in this function,240
dup error each undeclared identifier is reported only once,240
dup error for each function it appears in,240
ldppc section vma x d overlaps previous sections,235
error aka has no member named,235
make target not remade because of errors,234
syntaxerror invalid token,234
error response from daemon get net http tls handshake timeout,233
head is now at c c alib error logs to syslog reason rls,232
error previously defined here,230
file line column aid reference not found commssttp,230
file line column aid reference not found sttpxxpgm,230
error response from daemon head get net http tls handshake timeout,229
file not found,228
error while loading shared libraries cannot open shared object file no such file or directory,224
error incompatible types in initialization,224
ldppc section vma x c overlaps previous sections,221
error response from daemon head unknown bad credentials,221
fatal could not read from remote repository,217
summary there were error messages shown returning a non zero exit code,215
failed to sync err output follows,214
error write on a pipe with no reader,209
error no description,203
fatal error parsing manifest no such file or directory,202
valueerror dictionary update sequence element has length is required,200
removing find permission denied,199
error from server java io ioexception no space left on device,197
file line column aid reference not found wss,196
file line column aid reference not found cmda,196
file line column aid reference not found in rtrv eqptmode,196
file line column aid reference not found in chk usb,196
ccppc command not found,195
error redeclaration of enumerator,195
file line column aid reference not found in ent flexog,194
file line column aid reference not found in ed flexog,194
file line column aid reference not found in rmv flexog,194
file line column aid reference not found in rst flexog,194
file line column aid reference not found in dlt flexog,194
file line column aid reference not found in rtrv flexog,194
file line column aid reference not found wssandnone,194
error command requires repo to be installed first,188
text field cannot be set it is not on the appropriate screen or unknown,188
dup cat no such file or directory,188
error job type name ctmr had an exception,187
requests exceptions jsondecodeerror no json object could be decoded,185
error specified bound equals destination size,184
file line column aid reference not found in rtrv defect,184
error job type name ctmp had an exception,183
dup jq error at stdin null null has no keys,180
ldppc section vma x e d overlaps previous sections,177
error response from daemon unauthorized the client does not have permission for manifest,177
error unexpected keyword,174
error bitbake fetcher error fetcherror,173
dup error gnu compilers before are not supported anymore,172
error could not find the required python library,170
error from server unrecognized stream or no permissions to commit to this stream,169
error error executing a python function in autogenerated,168
error node interface is not found,168
exiting due to postbuild error,165
error from server cannot queue this commit job queue is at capacity,164
make no rule to make target stop,163
ldppc section vma x fe overlaps previous sections,162
failed to coverity build,155
error missing initializer for field of aka,155
docker error response from daemon error while creating mount source path mkdir permission denied,152
ldppc section vma x a a overlaps previous sections,152
gmake error,152
rsync error some files attrs were not transferred see previous errors code at,152
rsync failed no such file or directory,151
text field cannot be set it is not on the appropriate screen or unknown field cannot be set it is not on the appropriate screen or unknown,146
error incompatible types when initializing type using type,144
error assignment to from makes pointer from integer without a cast,143
chmod cannot access no such file or directory,138
ldppc section vma x e e overlaps previous sections,137
importing from file pr conf failed,136
error task mc cmx failed with exit code,135
ldppc section vma x a d overlaps previous sections,135
can t exec no such file or directory at line,135
rm missing operand,135
error response from daemon head net http tls handshake timeout,131
error explicit specialization of non template struct,130
error response from daemon get net http request canceled client timeout exceeded while awaiting headers,129
error logfile of failure stored in gitrautoinc,129
a ada by hadi dewan fix the commit error for,129
ldppc section vma x e a overlaps previous sections,128
dup error unsupported toolchain,128
ldppc section vma x e c overlaps previous sections,126
command exited with non zero status,125
dup file line column aid reference not found ccmd x,124
head is now at fca jq fix syntax error when calling base lineup update,123
error execution failed,122
ldppc section vma x e b overlaps previous sections,121
write error broken pipe,121
sed couldn t flush stdout broken pipe,120
bad request plan u u release sourcebranch modem id bad request failed to process data,119
error fetcher failure unable to find file file core bifrost linux c b r core downloadfilename core bifrost linux c b r core anywhere the paths that were searched were,119
error redefined,119
error invalid function declaration,118
ldppc section vma x e f overlaps previous sections,117
error response from daemon head get net http request canceled client timeout exceeded while awaiting headers,117
could not get a valid image exiting,116
repository not found,116
error excess elements in scalar initializer,115
error braces around scalar initializer,115
error permissionerror,115
error function definition does not declare parameters,113
exception bb process executionerror execution of failed with exit code,112
make failed to remake makefile,111
oserror deploy failed status on,111
error sdo repo init snapshotsync failed on on possible bad repo manifests git status,111
error array expression is out of bounds,110
error mc cmx executionerror none none,109
error in running command,109
ldppc section vma x f b overlaps previous sections,108
makefile only one per conditional stop,107
error job type name wl se had an exception,106
the requested repository does not exist or you do not have permission to access it,106
error getting the commit from repo git,106
error with git ls remote branch release of git,106
error invalid command,105
error querying jenkins plan id,104
dup line toolsetup command not found,104
error mc ctm cm executionerror none none,103
error fetcher failure unable to find file file cligen r core downloadfilename cligen r core anywhere the paths that were searched were,103
error fetcher failure unable to find file file libtacplus a r core downloadfilename libtacplus a r core anywhere the paths that were searched were,103
importerror cannot import name cesdemanatelitemibdefinition while importing,102
ldppc section vma x b overlaps previous sections,101
cannot contact java lang interruptedexception,101
valueerror no files produced build failed,101
fatal unable to access could not resolve host bitbucket ciena com,100
gitrautoinc gitrautoinc undefined reference to,100
error initializer element is not computable at load time,100
error invalid executable,98
error unexpected return exit from executable,98
fatal error no such file or directory,97
line terminated,97
error task mc ctm cm virtual multilib lib failed with exit code,96
ldppc section vma x c c overlaps previous sections,96
dup line no such file or directory,96
dup ccpentium linker input file unused because linking not done,96
ldppc section vma x c e overlaps previous sections,95
error has not been declared,95
error use of undeclared identifier,94
error job type name onid had an exception,93
error info is different in vs,93
applying limit trace level to deal with exception loop reason jr xxxx,93
error the postinstall intercept hook failed details in,93
line killed timeout s m return code dir noxrefs url stream,92
failed to commit coverity defects due to timeout,92
error expected declaration specifiers or before,91
ldpentium undefined reference to,90
error does not name a type,90
ldppc cannot find lsnmpdvx ppcsp no such file or directory,89
ldppc cannot find lstlport no such file or directory,89
dup rm cannot remove no such file or directory,89
error job type name u boot had an exception,88
dup cannot open directory dhcp,88
error configure failed,88
shell init error retrieving current directory getcwd cannot access parent directories no such file or directory,87
collect error ld returned exit status,87
ldppc section vma x a f overlaps previous sections,86
error could not invoke dnf command returned,85
user agent falling back to could not detect os or basearch,85
error giterror manifests rev list fatal bad revision,85
dup cannot open directory grub d,84
error fetcher failure unable to find file file core bifrost linux ce a e r core downloadfilename core bifrost linux ce a e r core anywhere the paths that were searched were,84
shmlreaderror,83
dup error conflicting types for,82
ldppc text x undefined reference to,81
error runjob on ctmr failed on hostname check copera build log for details,81
error variable or field declared void,80
error initialization of from aka makes integer from pointer without a cast,80
error initialization of aka from makes pointer from integer without a cast,80
error initialization of from makes integer from pointer without a cast,80
error initialization of aka from incompatible pointer type aka,80
error initialization of aka from incompatible pointer type,80
error initialization of from makes pointer from integer without a cast,80
error initialization of from incompatible pointer type aka,80
error pointer targets in initialization of aka from differ in signedness,80
error unable to find a match,79
ldppc section vma x c f overlaps previous sections,78
ldppc section vma x dc overlaps previous sections,78
error task mc ctm cmx failed with exit code,77
standard input error open cfi at the end of file missing directive,76
simplejson errors jsondecodeerror expecting value line column char,76
error prefix is not defined reported only once,76
got an error terminating the pool filenotfounderror no such file or directory,75
error lfs is different in vs,75
error rr cache is different in vs,74
error description is different in vs,74
fatal cannot change to no such file or directory,72
ldppc section vma x fae overlaps previous sections,72
error unrecognized arguments,71
line bfc build command not found,71
error reading bytes from a region of size,70
error mc ctm cmx executionerror none none,69
error pathspec did not match any file s known to git,69
attribute not found in ctmr model,68
error,67
content is not allowed in prolog,66
parsing error line uri null,66
org xml sax saxparseexception content is not allowed in prolog,66
ldppc section vma x a b overlaps previous sections,66
error fetcher failure unable to find file file core bifrost linux ad a d d r core downloadfilename core bifrost linux ad a d d r core anywhere the paths that were searched were,66
error failed to push some refs to,64
error could not take a snapshot using repo manifest is repo tool active,63
returned error code,63
error invalid suffix on integer constant,63
error fetcher failure unable to find file file libedit r core downloadfilename libedit r core anywhere the paths that were searched were,63
warning and error generated,62
line cd repo manifests no such file or directory,62
 python setup py did not run successfully,61
 exit code,61
note this error originates from a subprocess and is likely not a problem with pip,61
gitrautoinc error is deprecated since openssl,60
unable to unzip untar archive artifact instance has no attribute,60
hash,60
error failed building wheel for ddf parser,59
failed to build ddf parser,59
error failed to build installable wheels for some pyproject toml based projects ddf parser,59
error exception,59
error fetcher failure unable to find file file core bifrost linux a bd c a r core downloadfilename core bifrost linux a bd c a r core anywhere the paths that were searched were,59
exception stringptr is not a primitive incomplete parse tree,58
error unable to read sha file of,58
line setup setws no such file or directory,58
ldppc section vma x a e overlaps previous sections,57
error pack objects died of signal,57
dup error no match for in,57
error type specifier missing defaults to iso c and later do not support implicit int,56
error job type name wl n had an exception,56
error hooks is different in vs,56
ldppc section vma x ce overlaps previous sections,55
error objects is different in vs,55
touch cannot touch no such file or directory,55
head is now at fe da pull request change syncproviderinternal error log back to debug,54
cp will not copy through just created symlink,54
fatal remote error server busy,54
error fetcher failure unable to find file file ddm cli d d a r core downloadfilename ddm cli d d a r core anywhere the paths that were searched were,54
error release,53
ldppc section vma x fc overlaps previous sections,52
sort cannot read no such file or directory,52
error fetcher failure unable to find file file bifrost cli bd e a r core downloadfilename bifrost cli bd e a r core anywhere the paths that were searched were,52
error job type name wl e had an exception,51
cache entry deserialization failed entry ignored,51
error implicit conversion from to,51
ldppc text x a undefined reference to,50
error task mc cm virtual multilib lib failed with exit code,50
project list error on project edm manifestinvalidrevisionerror revision in edm not found,50
fatal ambiguous argument unknown revision or path not in the working tree,50
bad request build bad request failed to process data,50
error logfile of failure stored in gitautoinc,49
ldppc section vma x fad overlaps previous sections,49
warnings and error generated,49
cp failed to close no space left on device,49
error svn is different in vs,49
error sdo git status still bad unable to recover agent on,49
fatal error dcc license error flexlm error the desired vendor daemon is down,48
dup sed can t read no such file or directory,48
dup error previous declaration of was here,48
dup ccppc linker input file unused because linking not done,48
head is now at b wlvin fix error logs and cleanup,48
error runjob on ctmp failed on hostname check copera build log for details,47
error expansionerror during parsing,47
indexerror list index out of range,46
dup cccp invalid option,46
error fetcher failure unable to find file file core bifrost linux bfc r core downloadfilename core bifrost linux bfc r core anywhere the paths that were searched were,46
error structure has no member named,45
fatal manifest not found,45
error unable to start bitbake server none,45
error server log for this session,45
syntaxerror invalid syntax,44
syntaxerror was never closed,43
ldppc section vma x fff overlaps previous sections,42
ldppc section vma x c a overlaps previous sections,42
error unable to fully sync the tree,42
error checking out local projects failed,42
importerror libffi so cannot open shared object file no such file or directory,42
error with git log branch main of,42
ldppc section vma x de overlaps previous sections,41
docker error response from daemon failed to create task for container failed to create shim task oci runtime create failed runc create failed unable to start container process error during container init error mounting to rootfs at create mount destination for mount openat permission denied unknown,41
ssh could not resolve hostname name or service not known,41
error task mc ctm cm failed with exit code,40
line true integer expression expected,40
dup line cleartool command not found,40
error mc wsai taskhash mismatch versus for mc wsai,40
make makefile no such file or directory,40
cannot connect to the docker daemon at unix is the docker daemon running,40
error fetcher failure unable to find file file core bifrost linux eb ce r core downloadfilename core bifrost linux eb ce r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux eb b c r core downloadfilename core bifrost linux eb b c r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux a c r core downloadfilename core bifrost linux a c r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux ae d c r core downloadfilename core bifrost linux ae d c r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux bbeaf a r core downloadfilename core bifrost linux bbeaf a r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux c bf r core downloadfilename core bifrost linux c bf r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux c d r core downloadfilename core bifrost linux c d r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file cluster yang b r core downloadfilename cluster yang b r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux a r core downloadfilename core bifrost linux a r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux b b ef r core downloadfilename core bifrost linux b b ef r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux e efa r core downloadfilename core bifrost linux e efa r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux e ee f r core downloadfilename core bifrost linux e ee f r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file oal fc e f r core downloadfilename oal fc e f r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux a ec r core downloadfilename core bifrost linux a ec r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux d fe b d r core downloadfilename core bifrost linux d fe b d r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux b b f f r core downloadfilename core bifrost linux b b f f r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux c bc r core downloadfilename core bifrost linux c bc r core anywhere the paths that were searched were,40
error fetcher failure unable to find file file core bifrost linux f d r core downloadfilename core bifrost linux f d r core anywhere the paths that were searched were,40
fatal invalid revision range d ffb fd e a b a ded a,40
error mc ctm cm failed,39
error job type name pots imtb had an exception,39
error runjob on onid failed on hostname check copera build log for details,39
fatal invalid revision range bc af f c ef ea a e a,39
fatal manifest not available,39
macro from local fail,38
fatal the remote end hung up unexpectedly,38
dup awk symbol lookup error awk undefined symbol,38
error task mc wsai failed with exit code,38
rm cannot remove permission denied,38
error fetcher failure unable to find file file ddm curl r downloadfilename ddm curl r anywhere the paths that were searched were,38
ldppc section vma x fd b overlaps previous sections,37
ldppc section vma x e dd overlaps previous sections,37
error invalid use of undefined type,37
error repo manifests manifests checkout,37
pip vendor urllib exceptions readtimeouterror httpsconnectionpool host read timed out,37
attributeerror module has no attribute,37
importerror no module named,36
bad request plan release sourcebranch id bad request failed to process data,36
the read operation timed out,36
dup ldppc cannot find lvxsnmp,36
ioerror no such file or directory,36
fatal manifest default xml not found,36
error expected unqualified id before token,36
sh whoami command not found,36
error fetcher failure unable to find file file ddm curl r core downloadfilename ddm curl r core anywhere the paths that were searched were,36
head is now at c wlvin fail module on long state transitions,36
fatal error command exited with status build target pkg j,35
cp not writing through dangling symlink,35
error job type name vws had an exception,35
error runjob on vws failed on hostname check copera build log for details,35
head is now at d cfde jq fix cli error output string with full command,35
error job type name pots hdppc had an exception,34
exception attributeerror object has no attribute,34
head is now at a pull request plugin error fix,33
error field has incomplete type,33
ldppc section vma x fd a overlaps previous sections,33
ldppc section vma x cd overlaps previous sections,33
json decoder jsondecodeerror expecting value line column char,33
error mc cm fatal qa errors were found failing task,32
error mc cm qa issue configure was passed unrecognised options enable build with yocto ctm,32
error mc cmx qa issue configure was passed unrecognised options enable build with yocto ctm,32
error mc cmx fatal qa errors were found failing task,32
error mc ctm cm fatal qa errors were found failing task,32
error mc ctm cm qa issue configure was passed unrecognised options enable build with yocto ctm,32
error mc ctm cmx fatal qa errors were found failing task,32
error mc ctm cmx qa issue configure was passed unrecognised options enable build with yocto ctm,32
fatal invalid path no such file or directory,32
error passing argument of from incompatible pointer type,32
failed to analyze coverity results,32
psycopg operationalerror connection to server at port failed no password supplied,32
error format expects argument of type but argument has type,32
error fetcher failure unable to find file file libnetconf r core downloadfilename libnetconf r core anywhere the paths that were searched were,32
error fetcher failure unable to find file file core bifrost linux cded d r core downloadfilename core bifrost linux cded d r core anywhere the paths that were searched were,32
error fetcher failure unable to find file file snap f r core downloadfilename snap f r core anywhere the paths that were searched were,32
error fetcher failure unable to find file file libyang r core downloadfilename libyang r core anywhere the paths that were searched were,32
error fetcher failure unable to find file file appweb r core downloadfilename appweb r core anywhere the paths that were searched were,32
error job type name pots simimtb had an exception,31
ldppc section vma x dbc overlaps previous sections,31
error runjob on wl se failed on hostname check copera build log for details,31
error copera job operators build pots executor warning exception running trat does not impact build,31
line terminated start offset,31
cannot stat no such file or directory,30
error job type name common had an exception,30
ldppc section vma x f a overlaps previous sections,30
ldppc section vma x f d overlaps previous sections,30
ldppc section vma x e ae overlaps previous sections,30
error job type name pots pts had an exception,30
cp cannot overwrite directory with non directory,30
error fetcher failure unable to find file file ddm tcp a bd c a r core downloadfilename ddm tcp a bd c a r core anywhere the paths that were searched were,30
error fetcher failure unable to find file file wl e yang r downloadfilename wl e yang r anywhere the paths that were searched were,30
error fetcher failure unable to find file file wl e yang r core downloadfilename wl e yang r core anywhere the paths that were searched were,30
head is now at skysw continue debug mcs build failed,30
inflating cannot open directory root,29
macro from fail,29
ldppc section vma x fbf overlaps previous sections,29
bb data smart expansionerror failure expanding variable expression was d d which triggered exception malformedurl the url is invalid and cannot be interpreted,29
failed to import scm,29
error too few arguments to function,29
error sstate cannot test file strace r timeout,29
error sstate cannot test file python requests r core timeout,29
error mc wsor executionerror none none,29
error task mc wsor failed with exit code,29
ldppc ldppc dwarf error invalid or unhandled form value x,28
text x d undefined reference to,28
text x e undefined reference to,28
error passing aka to parameter of type converts between pointers to integer types where one is of the unique plain type and the other is not,28
error runjob on wl e failed on hostname check copera build log for details,28
fatal include tmp repomanifest xml doesn t a file,28
dup error previous definition of was here,28
error job type name pots sim had an exception,28
fatal invalid revision range c d fb c f ac edcb b a df,28
error sstate cannot test file zstd r core timeout,28
